Rank,College Name,Location,Median SAT,Median ACT,Est. price 2019-20 without aid,Est. price 2019-20 with avg. grant,% of students who get any grants,Average student debt,Early career earnings
702,Virginia State University,Petersburg. VA,920,17,23.600,17.300,0.92,29.750,44.000
703,Randolph-Macon College,Ashland. VA,1140,24,56.600,28.400,0.99,27.000,45.100
704,Berry College,Mount Berry. GA,1210,27,52.900,27.900,0.99,24.090,43.400
705,Florida Southern College,Lakeland. FL,1160,27,52.100,26.600,0.93,24.880,44.600
706,Saint Leo University,Saint Leo. FL,1020,23,40.200,21.900,0.73,24.750,44.900
707,Clarion University of Pennsylvania,Clarion. PA,1020,21,28.600,19.700,0.68,26.250,43.200
708,North Carolina Central University,Durham. NC,970,19,23.200,13.500,0.78,31.000,43.300
709,Hollins University,Roanoke. VA,1200,26,56.600,20.800,0.99,27.000,40.900
710,University of Montevallo,Montevallo. AL,1050,23,26.800,17.200,0.8,24.260,38.300
711,Westminster College - Missouri,Fulton. MO,1100,24,42.300,21.500,0.97,26.000,47.700
712,Stetson UniversityDe,Land. FL,NA,NA,64.100,29.100,0.99,27.000,46.000
713,Claflin University,Orangeburg. SC,960,19,34.100,19.300,0.95,33.000,36.000
714,Belhaven University,Jackson. MS,NA,NA,35.900,19.000,0.83,27.000,41.400
715,Paul Smiths College of Arts and Science,Paul Smiths. NY,NA,NA,46.500,28.500,0.97,21.500,36.000
716,Mansfield University of Pennsylvania,Mansfield. PA,1040,20,30.000,21.000,0.72,27.000,42.800
717,Mercy College,Dobbs Ferry. NY,NA,NA,38.900,17.300,0.63,23.690,46.000
718,Belmont University,Nashville. TN,1230,27,53.000,37.800,0.7,21.250,46.000
719,Eckerd College,Saint Petersburg. FL,1160,26,61.800,36.200,0.95,26.550,47.300
720,Milwaukee Institute of Art & Design,Milwaukee. WI,NA,NA,50.000,26.500,1.0,27.000,43.200
721,Berklee College of Music,Boston. MA,NA,NA,66.400,44.200,0.57,23.500,46.500
722,Eastern University,Saint Davids. PA,1100,23,50.400,25.300,0.91,26.500,43.700
723,California Institute of the Arts,Valencia. CA,NA,NA,72.100,54.700,0.76,27.000,53.200
724,Hiram College,Hiram. OH,1070,21,49.900,23.900,0.79,27.000,44.800
725,Coker University,Hartsville. SC,1010,19,42.000,17.600,0.86,27.000,37.000
726,Olivet College,Olivet. MI,NA,NA,41.700,21.700,0.95,27.000,44.500
727,Meredith College,Raleigh. NC,1100,23,51.500,27.000,0.96,26.000,42.500
728,Mercyhurst University,Erie. PA,NA,NA,54.100,21.100,0.96,26.850,44.100
729,Ohio University,Athens. OH,1170,24,28.500,23.100,0.58,20.070,50.200
730,Dillard University,New Orleans. LA,910,20,35.400,18.400,0.93,36.000,43.400
731,Lincoln University,Lincoln University. PA,970,19,28.600,19.500,0.89,31.000,47.200
732,Kent State University at Kent,Kent. OH,1130,23,26.600,19.400,0.67,25.250,44.600
733,University of the District of Columbia,Washington. DC,NA,NA,36.100,17.900,0.55,23.500,51.300
734,Marywood University,Scranton. PA,1020,23,52.600,26.800,0.9,27.000,41.800
735,High Point University,High Point. NC,1150,24,53.400,41.700,0.74,25.000,47.100
736,Clark Atlanta University,Atlanta. GA,990,20,39.000,28.600,0.83,31.000,45.800
737,New England College,Henniker. NH,NA,NA,56.200,29.300,0.79,26.000,43.900
738,Savannah College of Art and Design,Savannah. GA,1130,24,58.900,44.600,0.91,26.370,45.500
739,Johnson C Smith University,Charlotte. NC,850,17,33.600,19.300,0.94,32.500,45.100
740,Glenville State College,Glenville. WV,NA,NA,24.200,13.400,0.8,23.910,38.200
741,Davenport University,Grand Rapids. MI,NA,NA,32.000,17.900,0.79,26.910,45.100
742,Oakwood University,Huntsville. AL,1000,20,37.300,27.300,0.9,31.000,42.300
743,Regent University,Virginia Beach. VA,1060,23,30.500,19.000,0.87,25.000,40.600
744,The University of the Arts,Philadelphia. PA,NA,NA,68.200,42.000,0.97,27.000,46.200
